longitud de onda,Esfera,0.75,0.5,0.25,0
488,0.113349166624585,0.149793048268894,0.189880524199321,0.199493124292409,0.176373375122457
489,0.114116417918343,0.151145754102896,0.19159473395699,0.200415857711748,0.176166929914133
490,0.11488919194191,0.152521301427772,0.193339448262989,0.201337677146751,0.17594148002548
491,0.115667410198702,0.15392026871393,0.195115481542217,0.202258116389035,0.175696542996514
492,0.116450984190846,0.155343253774483,0.196923676810264,0.203176681562537,0.175431629891111
493,0.117239814705512,0.156790874523012,0.198764906862029,0.204092849722011,0.175146245490433
494,0.118033791053682,0.158263769762836,0.200640075514537,0.20500606738886,0.174839888508105
495,0.118832790258262,0.15976260000894,0.202550118906352,0.205915749022397,0.174512051828161
496,0.119584758643526,0.161311787874849,0.204682595974425,0.207095582717644,0.174371901062454
497,0.119832266622563,0.16306881532658,0.208566341211843,0.210803968811702,0.176116604339542
498,0.120005665492588,0.164789172351156,0.212553181890765,0.21462895440038,0.177875297201757
499,0.120101319320248,0.166466849760445,0.216646071288326,0.21857681238582,0.17964767446434
500,0.120115610695121,0.168095357024928,0.220847892627806,0.222654267674677,0.181433362513466
501,0.120044963855543,0.169667703591757,0.225161421220967,0.226868538332331,0.183231911140535
502,0.119885869892987,0.171176382889224,0.229589279008338,0.231227381315977,0.185042784451701
503,0.119634913961673,0.172613359831005,0.234133880185474,0.235739143391172,0.186865350744026
504,0.119288804374086,0.173970062742869,0.238797366396297,0.240412817929204,0.18869887122625
505,0.118844403412667,0.175237380744781,0.243581529740473,0.24525810839179,0.190542487447066
506,0.118298759633634,0.176405667728541,0.248487721578997,0.250285499438265,0.192395207276686
507,0.117649141381822,0.177464754170031,0.253516744830209,0.255506336742585,0.194255889268227
508,0.11689307117674,0.178403968099298,0.258668727128333,0.260932916788077,0.19612322520369
509,0.116028360571362,0.179212166613135,0.26394297187154,0.266578588122755,0.197995720604712
510,0.115053145028231,0.179877779344363,0.269337783823059,0.272457865814783,0.199871672960567
511,0.113965918304365,0.18038886528893,0.274850265558251,0.278586561155338,0.20174914739455
512,0.112765565789447,0.180733184324829,0.280476080690786,0.284981929026331,0.203625949454619
513,0.111451396203231,0.1808982846234,0.286209179489125,0.29166283579745,0.205499594674306
514,0.110023171030322,0.180871606941649,0.292041482249635,0.298649951158925,0.20736727450511
515,0.108481131055971,0.180640606482701,0.297962515680419,0.305965967956236,0.209225818171124
516,0.106826019367088,0.180192892611049,0.303958997646514,0.313635854899623,0.211071649939934
517,0.105059100200392,0.179516386204198,0.31001436603568,0.321687148011996,0.212900741240291
518,0.103182173055467,0.178599493811738,0.316108248359988,0.330150287901363,0.214708556985857
519,0.10119758154539,0.177431297082552,0.322215870186681,0.33905901145976,0.216489995384955
520,0.099108216531331,0.176001755124561,0.328307402811324,0.348450808480126,0.218239320427896
521,0.096886562623043,0.174122965956902,0.333752772371312,0.358181013662419,0.220165663936992
522,0.094355276910264,0.170473851535709,0.333601702953314,0.36661588255885,0.224081625535729
523,0.091850228056063,0.166766392308363,0.333057480018247,0.375294771548719,0.228127057935226
524,0.089373839808641,0.163010270477954,0.332109239590839,0.38421832271791,0.232308621935705
